0041 0051
0061 0071
005a 0057
007a 0077
0051 0041
0071 0061
0057 005a
0077 007a
0031 0021
0032 0040
0033 0023
0034 0024
0035 0025
0036 005e
0037 0026
0038 002a
0039 0028
0030 0029
0026 0031
00e9 0032
0022 0033
0027 0034
0028 0035
002d 0036
00e8 0037
005f 0038
00e7 0039
00e0 0030
0029 002d
00b0 005f
00a8 007b
005e 005b
00a3 007d
0024 005d
0025 0022
00f9 0027
004d 003a
006d 003b
003f 004d
002c 006d
002e 003c
003b 002c
002f 003e
003a 002e
00a7 003f
0021 002f
00b5 007c
002a 005c
007e 0000
0023 0000
007b 0000
005b 0000
007c 0000
0060 0000
005c 0000
0040 0000
005d 0000
007d 0000
00b2 0060
0042 0042
0062 0062
0043 0043
0063 0063
0044 0044
0064 0064
0045 0045
0065 0065
0046 0046
0066 0066
0047 0047
0067 0067
0048 0048
0068 0068
0049 0049
0069 0069
004a 004a
006a 006a
004b 004b
006b 006b
004c 004c
006c 006c
004e 004e
006e 006e
004f 004f
006f 006f
0050 0050
0070 0070
0052 0052
0072 0072
0053 0053
0073 0073
0054 0054
0074 0074
0055 0055
0075 0075
0056 0056
0076 0076
0058 0058
0078 0078
0059 0059
0079 0079
